MAP50106442	935_131101
0_SH-92-14_SH-92-14	SRR5588935
GTEX-13QIC	SRR1433431
0_UMARY_1795	SRR5589194
0_UMARY_1797	SRR5589196
0_MSSM_66	MSSM_RNA_PFC_66
0_UMARY-5179_UMARY-5179	SRR5605725
0_MSSM_67	MSSM_RNA_PFC_67
0_MSSM_69	MSSM_RNA_PFC_69
0_MSSM_62	MSSM_RNA_PFC_62
0_MSSM_63	MSSM_RNA_PFC_63
0_MSSM_64	MSSM_RNA_PFC_64
0_MSSM_65	MSSM_RNA_PFC_65
Br2292	Br2292_R5689
0_MSSM_60	MSSM_RNA_PFC_60
0_MSSM_61	MSSM_RNA_PFC_61
0_MSSM_59	MSSM_RNA_PFC_59
Br2288	Br2288_R5749
0_MSSM_56	MSSM_RNA_PFC_56
0_MSSM_57	MSSM_RNA_PFC_57
Br2285	CMC_HBCC_RNA_PFC_3441
0_MSSM_52	MSSM_RNA_PFC_52
GTEX-OHPN	SRR608662
0_MSSM_53	MSSM_RNA_PFC_53
0_MSSM_50	MSSM_RNA_PFC_50
2015-3170	2015-3170
0_MSSM_48	MSSM_RNA_PFC_48
0_MSSM_44	MSSM_RNA_PFC_44
0_MSSM_45	MSSM_RNA_PFC_45
0_MSSM_46	MSSM_RNA_PFC_46
0_MSSM_47	MSSM_RNA_PFC_47
0_MSSM_40	MSSM_RNA_PFC_40
0_MSSM_41	MSSM_RNA_PFC_41
0_MSSM_42	MSSM_RNA_PFC_42
0_MSSM_43	MSSM_RNA_PFC_43
0_PITT_904	PITT_RNA_PFC_904
0_PITT_902	PITT_RNA_PFC_902
Br2271	CMC_HBCC_RNA_PFC_2981
0_MSSM_38	MSSM_RNA_PFC_38
0_MSSM_39	MSSM_RNA_PFC_39
0_MSSM_33	MSSM_RNA_PFC_33
0_MSSM_34	MSSM_RNA_PFC_34
Br2269	R5745
SAMN03279799	SRR1747160
SAMN03279798	SRR1747163
0_MSSM_32	MSSM_RNA_PFC_32
SAMN03279797	SRR1747156
7099	7099_TCX
0_MSSM_26	MSSM_RNA_PFC_26
0_PITT_970	PITT_RNA_PFC_970
0_MSSM_28	MSSM_RNA_PFC_28
0_MSSM_22	MSSM_RNA_PFC_22
Br2257	Br2257_R5741
0_MSSM_25	MSSM_RNA_PFC_25
0_MSSM_20	MSSM_RNA_PFC_20
0_UMARY-455_UMARY-455	SRR5589256
0_PENN_7	PENN_RNA_PFC_7
0_PENN_9	PENN_RNA_PFC_9
0_PENN_4	PENN_RNA_PFC_4
0_PENN_3	PENN_RNA_PFC_3
0_PENN_6	PENN_RNA_PFC_6
0_PENN_5	PENN_RNA_PFC_5
0_MSSM_15	MSSM_RNA_PFC_15
0_MSSM_16	MSSM_RNA_PFC_16
0_MSSM_12	MSSM_RNA_PFC_12
0_UMARY-1322_UMARY-1322	SRR5589111
0_MSSM_13	MSSM_RNA_PFC_13
0_PITT_933	PITT_RNA_PFC_933
Br2242	Br2242_R5626
0_UMARY_4842	SRR5589290
0_SH-08-23_SH-08-23	SRR5588926
Br2236	Br2236_R4366
Br2230	Br2230_R4354
Br2231	Br2231_R4426
0_PITT_1583	PITT_RNA_PFC_1583
0_PITT_1581	PITT_RNA_PFC_1581
0_PENN_49	PENN_RNA_PFC_49
SAMN02251127	SRR934985
SAMN02251125	SRR934982
SAMN02251123	SRR934798
SAMN02251121	SRR934799
SAMN02251120	SRR934797
0_PENN_51	PENN_RNA_PFC_51
0_PENN_50	PENN_RNA_PFC_50
0_PENN_56	PENN_RNA_PFC_56
0_PENN_59	PENN_RNA_PFC_59
0_PENN_58	PENN_RNA_PFC_58
0_UMARY_4786	SRR5589287
0_PENN_52	PENN_RNA_PFC_52
0_PENN_55	PENN_RNA_PFC_55
0_PENN_54	PENN_RNA_PFC_54
CGND-HDA-01313-b38	HRA_00321
0_UMARY_4789	SRR5589289
SAMN02251138	SRR934954
SAMN02251136	SRR934951
SAMN02251135	SRR934952
SAMN02251134	SRR934953
SAMN02251133	SRR934981
SAMN02251132	SRR934989
SAMN02251131	SRR934986
0_SH-99-29_SH-99-29	SRR5588973
SAMN02251130	SRR934983
0_UMARY-1475_UMARY-1475	SRR5605691
GTEX-ZYFD	SRR1418992
0_PENN_62	PENN_RNA_PFC_62
0_PENN_61	PENN_RNA_PFC_61
0_PENN_68	PENN_RNA_PFC_68
0_PENN_67	PENN_RNA_PFC_67
0_PENN_69	PENN_RNA_PFC_69
0_PENN_64	PENN_RNA_PFC_64
0_PENN_63	PENN_RNA_PFC_63
0_PENN_66	PENN_RNA_PFC_66
0_PENN_65	PENN_RNA_PFC_65
0_UMARY-1796_UMARY-1796	SRR5589195
0_UMARY-257_UMARY-257	SRR5605704
CGND-HDA-00494-b38	HRA_00129
SAMN02251148	SRR934900
SAMN02251147	SRR934907
SAMN02251145	SRR934902
SAMN02251143	SRR934913
SAMN02251142	SRR934914
SAMN02251141	SRR934955
0_PENN_71	PENN_RNA_PFC_71
0_PENN_70	PENN_RNA_PFC_70
0_PENN_73	PENN_RNA_PFC_73
0_PENN_79	PENN_RNA_PFC_79
0_PENN_78	PENN_RNA_PFC_78
933	933_TCX
CGND-HDA-00592-b38	HRA_00217
0_PENN_74	PENN_RNA_PFC_74
0_PENN_77	PENN_RNA_PFC_77
0_PENN_76	PENN_RNA_PFC_76
CGND-HDA-00440-b38	HRA_00745
SAMN02251158	SRR934888
CGND-HDA-01322-b38	HRA_00391
SAMN02251153	SRR934836
SAMN02251151	SRR934915
SAMN02251150	SRR934911
0_PENN_81	PENN_RNA_PFC_81
0_PENN_83	PENN_RNA_PFC_83
0_MSSM_100	MSSM_RNA_PFC_100
0_PENN_80	PENN_RNA_PFC_80
0_MSSM_102	MSSM_RNA_PFC_102
0_MSSM_101	MSSM_RNA_PFC_101
946	946_TCX
0_MSSM_108	MSSM_RNA_PFC_108
0_PENN_86	PENN_RNA_PFC_86
948	948_TCX
0_PENN_88	PENN_RNA_PFC_88
0_MSSM_109	MSSM_RNA_PFC_109
0_PENN_87	PENN_RNA_PFC_87
SAMN02251168	SRR934846
SAMN02251166	SRR934852
SAMN02251164	SRR934849
SAMN02251163	SRR934838
SAMN02251161	SRR934802
AN11864	AN11864_ba41.42.22
952	952_TCX
0_UMARY-177_UMARY-177	SRR5589190
0_PENN_14	PENN_RNA_PFC_14
0_PENN_11	PENN_RNA_PFC_11
0_PENN_17	PENN_RNA_PFC_17
MAP50106992	326_120501
0_PENN_16	PENN_RNA_PFC_16
0_PENN_19	PENN_RNA_PFC_19
0_PENN_18	PENN_RNA_PFC_18
SAMN02251178	SRR934897
SAMN02251177	SRR934841
SAMN02251176	SRR934817
SAMN02251175	SRR934845
SAMN02251174	SRR934811
SAMN02251172	SRR934842
SAMN02251171	SRR934839
962	962_TCX
0_PENN_24	PENN_RNA_PFC_24
0_PENN_23	PENN_RNA_PFC_23
966	966_TCX
0_PENN_20	PENN_RNA_PFC_20
0_PENN_21	PENN_RNA_PFC_21
0_PENN_28	PENN_RNA_PFC_28
0_PENN_27	PENN_RNA_PFC_27
SAMN02251187	SRR934822
SAMN02251186	SRR934856
SAMN02251185	SRR934850
SAMN02251184	SRR934840
SAMN02251183	SRR934819
SAMN02251181	SRR934853
SAMN02251180	SRR934844
0_PENN_35	PENN_RNA_PFC_35
976	976_TCX
0_PENN_34	PENN_RNA_PFC_34
0_PENN_31	PENN_RNA_PFC_31
0_PENN_33	PENN_RNA_PFC_33
0_PENN_32	PENN_RNA_PFC_32
0_PENN_39	PENN_RNA_PFC_39
0_PENN_38	PENN_RNA_PFC_38
SAMN02251198	SRR934753
SAMN02251197	SRR934806
SAMN02251194	SRR934744
0_UMARY-4735_UMARY-4735	SRR5589283
0_PENN_40	PENN_RNA_PFC_40
981	981_TCX
SAMN02251191	SRR934813
SAMN02251190	SRR934747
0_UMARY-164_UMARY-164	SRR5589177
Br2192	Br2192_R4273
Br2194	Br2194_R5905
0_PENN_46	PENN_RNA_PFC_46
0_PENN_45	PENN_RNA_PFC_45
0_PENN_48	PENN_RNA_PFC_48
0_PENN_42	PENN_RNA_PFC_42
0_PENN_41	PENN_RNA_PFC_41
0_PENN_44	PENN_RNA_PFC_44
CGND-HDA-00559-b38	HRA_01231
0_PENN_43	PENN_RNA_PFC_43
GTEX-13OW6	SRR1444580
GTEX-13OW5	SRR1488715
0_MSSM_161	MSSM_RNA_PFC_161
GTEX-13OVJ	SRR1487685
0_UMARY-4546_UMARY-4546	SRR5605710
0_MSSM_164	MSSM_RNA_PFC_164
0_MSSM_163	MSSM_RNA_PFC_163
GTEX-13OVL	SRR1431307
0_MSSM_160	MSSM_RNA_PFC_160
GTEX-13OVH	SRR1323746
GTEX-T5JC	SRR812012
0_MSSM_158	MSSM_RNA_PFC_158
991	991_TCX
0_MSSM_157	MSSM_RNA_PFC_157
SAMEA2300339	ERR409745
SAMEA2300338	ERR409744
0_SH-99-31_SH-99-31	SRR5588976
0_MSSM_173	MSSM_RNA_PFC_173
Br1764	Br1764_R2855
0_MSSM_172	MSSM_RNA_PFC_172
0_MSSM_175	MSSM_RNA_PFC_175
0_MSSM_174	MSSM_RNA_PFC_174
0_UMARY-1363_UMARY-1363	SRR5589120
Br1761	Br1761_R3774
Br1760	R3620
0_MSSM_171	MSSM_RNA_PFC_171
0_MSSM_168	MSSM_RNA_PFC_168
0_MSSM_167	MSSM_RNA_PFC_167
SAMN02378282	SRR1057966
SAMN02378281	SRR1057965
0_UMARY-240_UMARY-240	SRR5589235
SAMN02378285	SRR1057969
SAMN02378278	SRR1057960
0_MSSM_184	MSSM_RNA_PFC_183
Br1753	Br1753_R4236
0_MSSM_183	MSSM_RNA_PFC_184
Br1756	Br1756_R3990
0_MSSM_186	MSSM_RNA_PFC_186
Br1750	Br1750_R3771
0_MSSM_180	MSSM_RNA_PFC_180
Br1752	R3708
0_MSSM_182	MSSM_RNA_PFC_182
0_MSSM_181	MSSM_RNA_PFC_181
Br983	Br983_R3623
0_MSSM_177	MSSM_RNA_PFC_177
0_MSSM_176	MSSM_RNA_PFC_176
0_MSSM_179	MSSM_RNA_PFC_179
Br1749	R3655
GTEX-QVUS	SRR658307
0_MSSM_194	MSSM_RNA_PFC_194
Br1744	R3641
0_MSSM_187	MSSM_RNA_PFC_187
0_MSSM_189	MSSM_RNA_PFC_189
GTEX-13OW8	SRR1418837
GTEX-13OW7	SRR1468955
Br1735	Br1735_R2999
GTEX-11ZVC	SRR1370240
Br1734	CMC_HBCC_RNA_PFC_3215
0_MSSM_120	MSSM_RNA_PFC_120
SM-CJIZY	937_131101
0_MSSM_114	MSSM_RNA_PFC_114
SM-CJIZZ	934_131101
0_MSSM_117	MSSM_RNA_PFC_117
0_MSSM_116	MSSM_RNA_PFC_116
SM-CJIZX	945_131107
0_MSSM_111	MSSM_RNA_PFC_111
SM-CJIZV	826_130725
0_MSSM_113	MSSM_RNA_PFC_113
SM-CJIZS	498_120515
0_MSSM_112	MSSM_RNA_PFC_112
GTEX-11ZUS	SRR1342045
SM-CJIZT	862_130911
SM-CJIZR	586_120522
SM-CJIZO	583_120522
SM-CJIZP	517_120515
0_MSSM_119	MSSM_RNA_PFC_119
0_MSSM_118	MSSM_RNA_PFC_118
SM-CJIZK	482_120514
SM-CJIZL	678_120604
GTEX-1192X	SRR1359630
CGND-HDA-00489-b38	HRA_00124
0_MSSM_126	MSSM_RNA_PFC_126
GTEX-11ZTS	SRR1353221
0_MSSM_125	MSSM_RNA_PFC_125
0_MSSM_127	MSSM_RNA_PFC_127
0_MSSM_124	MSSM_RNA_PFC_124
0_MSSM_123	MSSM_RNA_PFC_123
SM-CJIYH	414_120503
SM-CJIYI	372_120502
SM-CJIYF	581_120521
SAMN02251108	SRR934784
SM-CJIYG	390_120503
SAMN02251107	SRR934782
SAMN02251106	SRR934785
SM-CJIYE	89_120417
SAMN02251104	SRR934786
SM-CJIYC	222_120425
SM-CJIYA	413_120503
0_MSSM_142	MSSM_RNA_PFC_142
SAMN02251101	SRR934779
0_MSSM_141	MSSM_RNA_PFC_141
SAMN02251100	SRR934775
SM-CJIXY	276_120430
SM-CJIXZ	155_120423
SM-CJIY8	298_120430
SM-CJIXW	05_120405
Br942	Br942_R3441
SM-CJIY9	203_120424
SM-CJIY6	677_120604
SM-CJIXU	19_120411
SM-CJIY7	494_120515
0_MSSM_133	MSSM_RNA_PFC_133
0_MSSM_132	MSSM_RNA_PFC_132
SM-CJIY5	252_120426
0_MSSM_134	MSSM_RNA_PFC_134
SM-CJIXR	125_120419
SM-CJIXO	577_120521
SM-CJIXP	602_120523
SM-CJIY1	325_120501
SM-CJIXM	438_120507
SM-CJIXK	207_120424
SM-CJIXI	74_120417
SM-CJIXJ	521_120515
SM-CJIZI	112_120418
Br1706	Br1706_R2996
SM-CJIZJ	72_120417
AN02987	AN02987_BA17
SAMN02251119	SRR934792
SM-CJIZH	219_120425
SAMN02251117	SRR934793
SAMN02251116	SRR934796
SAMN02251115	SRR934794
0_MSSM_153	MSSM_RNA_PFC_153
0_MSSM_152	MSSM_RNA_PFC_152
SAMN02251110	SRR934788
SM-CJIYZ	407_120503
0_MSSM_148	MSSM_RNA_PFC_148
SM-CJIYX	885_130923
0_MSSM_147	MSSM_RNA_PFC_147
SM-CJIYV	694_120605
0_MSSM_149	MSSM_RNA_PFC_149
SM-CJIYW	221_120425
0_MSSM_144	MSSM_RNA_PFC_144
SM-CJIZ5	256_120426
0_MSSM_143	MSSM_RNA_PFC_143
0_SH-04-08_SH-04-08	SRR5588896
SM-CJIYM	133_120419
SM-CJIYJ	288_120430
SM-CJIYK	214_120425
2015-2594	2015-2594
2015-2593	2015-2593
2015-520	2015-520
Br2107	Br2107_R4342
2015-2590	2015-2590
2015-2592	2015-2592
Br2104	Br2104_R4344
2015-2591	2015-2591
Br2103	Br2103_R4324
0_PITT_1455	PITT_RNA_PFC_1455
0_PITT_1454	PITT_RNA_PFC_1454
0_PITT_1453	PITT_RNA_PFC_1453
SAMN04941038	SRR3477513
Br922	Br922_R3921
2015-2583	2015-2583
SAMN04941046	SRR3477522
SM-CJIXG	315_120501
2015-2582	2015-2582
2015-2585	2015-2585
2015-2584	2015-2584
2015-2587	2015-2587
SM-CJIXC	66_120417
2015-2586	2015-2586
2015-2589	2015-2589
2015-2588	2015-2588
SM-CJIXB	R24_131017
2015-2581	2015-2581
SM-CJIWX	02_120405
2015-2580	2015-2580
SM-CJIWY	476_120514
SM-CJIWV	318_120501
SM-CJIWW	165_120423
SM-CJIX5	547_120516
SM-CJIWT	204_120424
SM-CJIWU	648_120529
SM-CJIX6	332_120501
SM-CJIX4	171_120423
SM-CJIWS	354_120501
129	129_TCX
0_UMARY-1843_UMARY-1843	SRR5589206
SAMN04941047	SRR3477523
0_UMARY-1818_UMARY-1818	SRR5589197
2015-509	2015-509
SAMN03279810	SRR1747191
134	134_TCX
135	135_TCX
0_PITT_1433	PITT_RNA_PFC_1433
SAMN03279817	SRR1747148
SAMN03279819	SRR1747206
SAMN03279814	SRR1747170
SAMN03279813	SRR1747153
SAMN03279816	SRR1747184
SAMN03279815	SRR1747173
2015-511	2015-511
2015-510	2015-510
2015-516	2015-516
2015-515	2015-515
141	141_TCX
2015-513	2015-513
142	142_TCX
2015-519	2015-519
2015-518	2015-518
SAMN03279801	SRR1747151
2015-517	2015-517
SAMN03279800	SRR1747209
2016-791	2016-791
2016-790	2016-790
2016-793	2016-793
149	149_TCX
2016-792	2016-792
0_PITT_1420	PITT_RNA_PFC_1420
2016-795	2016-795
SAMN03279807	SRR1747205
2016-794	2016-794
SAMN03279806	SRR1747143
0_SH-99-14_SH-99-14	SRR5588972
2016-797	2016-797
2016-796	2016-796
SAMN03279808	SRR1747175
2016-799	2016-799
SAMN03279803	SRR1747146
2016-798	2016-798
SAMN03279802	SRR1747171
SAMN03279805	SRR1747203
SAMN03279804	SRR1747154
2015-37	2015-37
2015-36	2015-36
2015-35	2015-35
GTEX-OXRO	SRR604262
GTEX-OXRN	SRR607337
Br1695	Br1695_R4235
AN05983	AN05983_ba9
SAMN03279831	SRR1747168
0_Pitt_BP_1449	PITT_RNA_BP_PFC_1449
SAMN03279833	SRR1747185
SAMN03279830	SRR1747202
2015-39	2015-39
SAMN03279836	SRR1747210
SAMN03279838	SRR1747208
SAMN03279837	SRR1747204
2015-22	2015-22
2015-21	2015-21
2015-20	2015-20
0_UMARY-5116_UMARY-5116	SRR5589320
0_Pitt_BP_1461	PITT_RNA_BP_PFC_1461
SAMN03279821	SRR1747181
SAMN03279823	SRR1747172
SAMN03279822	SRR1747179
SAMN03279829	SRR1747174
SAMN03279828	SRR1747192
SAMN04941009	SRR3477481
SAMN04941008	SRR3477480
CGND-HDA-00555-b38	HRA_01223
AN16641	AN16641_ba9_73
SAMN03279825	SRR1747189
SAMN03279824	SRR1747207
SAMN03279827	SRR1747147
2015-2572	2015-2572
GTEX-QVJO	SRR615838
2015-2573	2015-2573
2015-2576	2015-2576
2015-2575	2015-2575
2015-2578	2015-2578
2015-2577	2015-2577
SM-CJJ1Z	791_130530
Br1677	R2986
SM-CJJ28	768_130523
Br1676	CMC_HBCC_RNA_PFC_2972
0_Pitt_BP_1473	PITT_RNA_BP_PFC_1473
SM-CJJ26	763_130520
Br1678	Br1678_R2901
SM-CJJ27	767_130523
SM-CJJ1S	533_120516
Br1674	Br1674_R2826
SM-CJJ1R	492_120515
SM-CJJ23	809_130702
SAMN03279854	SRR1747164
SM-CJJ1P	555_120517
SAMN03279856	SRR1747196
SM-CJJ1M	787_130530
Br1670	Br1670_R3556
SAMN03279855	SRR1747201
SM-CJJ1N	958_131107
SAMN03279850	SRR1747161
SM-CJJ1K	168_120423
SM-CJJ1L	479_120514
2015-2579	2015-2579
SM-CJJ1H	411_120503
SM-CJJ1E	684_120604
SM-CJJ1F	950_131107
SAMN03279858	SRR1747195
SM-CJJ1C	704_120605
SM-CJJ1D	936_131101
SAMN03279859	SRR1747197
2015-43	2015-43
2015-42	2015-42
2015-41	2015-41
Br1669	Br1669_R3619
0_UMARY_1612	SRR5589175
2015-46	2015-46
SM-CJJ2Z	670_120530
2015-45	2015-45
0_Pitt_BP_1482	PITT_RNA_BP_PFC_1482
0_Pitt_BP_1483	PITT_RNA_BP_PFC_1483
SM-CJJ2X	312_120430
SM-CJJ2V	299_120430
SM-CJJ38	653_120529
2015-40	2015-40
SM-CJJ2T	721_120531
SM-CJJ35	672_120530
Br1661	R3976
SM-CJJ2U	709_120531
0_Pitt_BP_1489	PITT_RNA_BP_PFC_1489
SM-CJJ34	646_120524
SAMN03279843	SRR1747150
SM-CJJ31	706_120605
SM-CJJ2P	805_130701
SAMN03279842	SRR1747188
SM-CJJ32	643_120524
SM-CJJ2N	807_130701
SAMN03279844	SRR1747176
GTEX-WWYW	SRR818033
SM-CJJ2O	790_130530
SM-CJJ2M	770_130523
SM-CJJ2J	820_130725
SAMN03279840	SRR1747187
SM-CJJ2H	810_130702
0_UMARY-1607_UMARY-1607	SRR5589172
SM-CJJ2F	776_130528
SM-CJJ2G	redo4_140501
SM-CJJ2D	769_130523
SAMN03279849	SRR1747162
SM-CJJ2B	812_130702
SAMN03279848	SRR1747211
0_UMARY_1668	SRR5589182
GTEX-14BIL	SRR1356619
GTEX-14BIN	SRR1360563
GTEX-14BIM	SRR1452379
Br2186	Br2186_R4373
0_Pitt_BP_1403	PITT_RNA_BP_PFC_1403
Br2187	Br2187_R4271
Br2183	Br2183_R4387
0_SH-96-22_SH-96-22	SRR5588949
SM-CJJ18	588_120522
Br2178	Br2178_R4384
SAMN02251097	SRR934773
SAMN02251096	SRR934774
SAMN02251095	SRR934772
SAMN03279861	SRR1747193
Br2170	Br2170_R4381
SAMN03279860	SRR1747199
Br2173	Br2173_R4370
SAMN03279863	SRR1747198
SAMN03279862	SRR1747200
GTEX-QMR6	SRR657754
0_UMARY-26_UMARY-26	SRR5589240
0_UMARY_1648	SRR5589176
Br2166	Br2166_R4398
AN04682	AN04682_ba41_42_22
2015-19	2015-19
2015-17	2015-17
0_UMARY_1652	SRR5589179
Br2156	Br2156_R4420
0_Pitt_BP_1444	PITT_RNA_BP_PFC_1444
Br2158	Br2158_R4421
Br2154	Br2154_R4410
SAMEA3541615	ERR1018443
GTEX-13PLJ	SRR1382956
GTEX-14BMV	SRR1391769
Br2149	Br2149_R4394
Br2146	Br2146_R4393
Br2148	Br2148_R4407
AN19760	AN19760_ba41_42_22_26
Br2130	Br2130_R4303
SAMEA3541611	ERR1018457
AN06420	AN06420_ba41_42_22_53
0_PITT_1474	PITT_RNA_PFC_1474
0_PITT_1472	PITT_RNA_PFC_1472
CGND-HDA-00514-b38	HRA_00149
0_UMARY_4726	SRR5589274
0_UMARY_4725	SRR5589272
0_UMARY_4729	SRR5589278
0_SH-07-11_SH-07-11	SRR5588914
