RnaID	RNADataset	GenotypeQuery	Reason
SRR1474795	GTEx	GTEx	GTEX-13RTL	GenotypeID not found
SRR664048	GTEx	GTEx	GTEX-P44G	GenotypeID not found
SRR1444622	GTEx	GTEx	GTEX-1445S	GenotypeID not found
SRR1401424	GTEx	GTEx	GTEX-ZAK1	GenotypeID not found
SRR1085825	GTEx	GTEx	GTEX-XOTO	GenotypeID not found
SRR604528	GTEx	GTEx	GTEX-P44G	GenotypeID not found
11261_CER	AMP-AD	Mayo	11261	GenotypeID not found
1930_CER	AMP-AD	Mayo	1930	GenotypeID not found
1169_CER	AMP-AD	Mayo	1169	GenotypeID not found
11366_CER	AMP-AD	Mayo	11366	GenotypeID not found
1923_CER	AMP-AD	Mayo	1923	GenotypeID not found
11343_CER	AMP-AD	Mayo	11343	GenotypeID not found
127_CER	AMP-AD	Mayo	127	GenotypeID not found
725_CER	AMP-AD	Mayo	725	GenotypeID not found
11339_CER	AMP-AD	Mayo	11339	GenotypeID not found
11311_CER	AMP-AD	Mayo	11311	GenotypeID not found
11388_CER	AMP-AD	Mayo	11388	GenotypeID not found
11438_CER	AMP-AD	Mayo	11438	GenotypeID not found
11416_CER	AMP-AD	Mayo	11416	GenotypeID not found
801_CER	AMP-AD	Mayo	801	GenotypeID not found
11503_CER	AMP-AD	Mayo	11503	GenotypeID not found
11477_CER	AMP-AD	Mayo	11477	GenotypeID not found
11366_TCX	AMP-AD	Mayo	11366	GenotypeID not found
7095_TCX	AMP-AD	Mayo	7095	GenotypeID not found
1930_TCX	AMP-AD	Mayo	1930	GenotypeID not found
1203_TCX	AMP-AD	Mayo	1203	GenotypeID not found
11311_TCX	AMP-AD	Mayo	11311	GenotypeID not found
11387_TCX	AMP-AD	Mayo	11387	GenotypeID not found
11386_TCX	AMP-AD	Mayo	11386	GenotypeID not found
1169_TCX	AMP-AD	Mayo	1169	GenotypeID not found
11388_TCX	AMP-AD	Mayo	11388	GenotypeID not found
843_TCX	AMP-AD	Mayo	843	GenotypeID not found
11503_TCX	AMP-AD	Mayo	11503	GenotypeID not found
1959_TCX	AMP-AD	Mayo	1959	GenotypeID not found
11289_TCX	AMP-AD	Mayo	11289	GenotypeID not found
11293_TCX	AMP-AD	Mayo	11293	GenotypeID not found
1923_TCX	AMP-AD	Mayo	1923	GenotypeID not found
127_TCX	AMP-AD	Mayo	127	GenotypeID not found
7098_TCX	AMP-AD	Mayo	7098	GenotypeID not found
11416_TCX	AMP-AD	Mayo	11416	GenotypeID not found
11438_TCX	AMP-AD	Mayo	11438	GenotypeID not found
BM_36_297	AMP-AD	MSBB	71766	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_10502	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_85	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_161	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_12312	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_4649	AMP-AD	MSBB	71817	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_9195	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_416	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_534	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_263	AMP-AD	MSBB	68624	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_10822	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_480	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_16085	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_507	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_310	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_4411	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_16055	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_16395	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_116	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_231	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_9206	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_12494	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_741	AMP-AD	MSBB	68624	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
BM_22_106	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_635	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_533	AMP-AD	MSBB	68624	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_16135	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_213	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_735	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_724	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_737	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_668	AMP-AD	MSBB	71766	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_16245	AMP-AD	MSBB	71731	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_16815	AMP-AD	MSBB	68624	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_8605	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_690	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_9151	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_728	AMP-AD	MSBB	71731	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_12964	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_424	AMP-AD	MSBB	71731	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
BM_10_608	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_537	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_12292	AMP-AD	MSBB	71817	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
hB_RNA_4489	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_268	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_279	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_9223	AMP-AD	MSBB	71817	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
BM_10_661	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_4498	AMP-AD	MSBB	71766	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
BM_10_747	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_581	AMP-AD	MSBB	71817	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
BM_22_230	AMP-AD	MSBB	71731	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-MSBB-V2\AMPAD-MSBB-V2.genome-pihat0.125.txt
BM_36_417	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_8635	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_792	AMP-AD	MSBB	NA	GenotypeID not found
BM_10_607	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_16365	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_7905	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_13253	AMP-AD	MSBB	NA	GenotypeID not found
BM_36_467	AMP-AD	MSBB	NA	GenotypeID not found
hB_RNA_7765	AMP-AD	MSBB	NA	GenotypeID not found
BM_22_143	AMP-AD	MSBB	NA	GenotypeID not found
SRR5589023	NABEC	NIH-PHS001354	UKY-1184	GenotypeID not found
SRR5589034	NABEC	NIH-PHS001354	UKY-1224	GenotypeID not found
SRR5589036	NABEC	NIH-PHS001354	UKY-1227	GenotypeID not found
SRR5589017	NABEC	NIH-PHS001354	UKY-1165	GenotypeID not found
SRR5589032	NABEC	NIH-PHS001354	UKY-1217	GenotypeID not found
SRR5589059	NABEC	NIH-PHS001354	UKY-5163	GenotypeID not found
SRR5589057	NABEC	NIH-PHS001354	UKY-5150	GenotypeID not found
SRR5589028	NABEC	NIH-PHS001354	UKY-1216	GenotypeID not found
SRR5588991	NABEC	NIH-PHS001354	UKY-1095	GenotypeID not found
SRR5589082	NABEC	NIH-PHS001354	UMARY-1113	GenotypeID not found
SRR5588983	NABEC	NIH-PHS001354	UKY-1066	GenotypeID not found
SRR5588995	NABEC	NIH-PHS001354	UKY-1106	GenotypeID not found
SRR5589354	NABEC	NIH-PHS001354	UMARY-794	GenotypeID not found
SRR5589035	NABEC	NIH-PHS001354	UKY-1224	GenotypeID not found
SRR5588996	NABEC	NIH-PHS001354	UKY-1127	GenotypeID not found
SRR5589042	NABEC	NIH-PHS001354	UKY-1244	GenotypeID not found
SRR5589039	NABEC	NIH-PHS001354	UKY-1229	GenotypeID not found
SRR5589061	NABEC	NIH-PHS001354	UKY-5212	GenotypeID not found
SRR5589003	NABEC	NIH-PHS001354	UKY-1142	GenotypeID not found
SRR5589040	NABEC	NIH-PHS001354	UKY-1229	GenotypeID not found
SRR5588985	NABEC	NIH-PHS001354	UKY-1069	GenotypeID not found
SRR5589030	NABEC	NIH-PHS001354	UKY-1217	GenotypeID not found
SRR5589046	NABEC	NIH-PHS001354	UKY-1247	GenotypeID not found
SRR5588988	NABEC	NIH-PHS001354	UKY-1070	GenotypeID not found
SRR5589006	NABEC	NIH-PHS001354	UKY-1153	GenotypeID not found
SRR5589022	NABEC	NIH-PHS001354	UKY-1184	GenotypeID not found
SRR5589062	NABEC	NIH-PHS001354	UKY-845	GenotypeID not found
SRR5589045	NABEC	NIH-PHS001354	UKY-1245	GenotypeID not found
SRR5589021	NABEC	NIH-PHS001354	UKY-1177	GenotypeID not found
SRR5589008	NABEC	NIH-PHS001354	UKY-1156	GenotypeID not found
SRR5588992	NABEC	NIH-PHS001354	UKY-1103	GenotypeID not found
SRR5589009	NABEC	NIH-PHS001354	UKY-1156	GenotypeID not found
SRR5588997	NABEC	NIH-PHS001354	UKY-1127	GenotypeID not found
SRR5589056	NABEC	NIH-PHS001354	UKY-5091	GenotypeID not found
SRR5588982	NABEC	NIH-PHS001354	UKY-1003	GenotypeID not found
SRR5589033	NABEC	NIH-PHS001354	UKY-1221	GenotypeID not found
SRR5589041	NABEC	NIH-PHS001354	UKY-1244	GenotypeID not found
SRR5588993	NABEC	NIH-PHS001354	UKY-1103	GenotypeID not found
SRR5589044	NABEC	NIH-PHS001354	UKY-1245	GenotypeID not found
SRR5589011	NABEC	NIH-PHS001354	UKY-1159	GenotypeID not found
SRR5589038	NABEC	NIH-PHS001354	UKY-1227	GenotypeID not found
SRR5588999	NABEC	NIH-PHS001354	UKY-1131	GenotypeID not found
SRR5589010	NABEC	NIH-PHS001354	UKY-1156	GenotypeID not found
SRR5589081	NABEC	NIH-PHS001354	UMARY-1113	GenotypeID not found
SRR5589018	NABEC	NIH-PHS001354	UKY-1165	GenotypeID not found
SRR5588987	NABEC	NIH-PHS001354	UKY-1070	GenotypeID not found
SRR5588984	NABEC	NIH-PHS001354	UKY-1069	GenotypeID not found
SRR5589050	NABEC	NIH-PHS001354	UKY-5015	GenotypeID not found
SRR5589001	NABEC	NIH-PHS001354	UKY-1134	GenotypeID not found
SRR5589049	NABEC	NIH-PHS001354	UKY-5015	GenotypeID not found
SRR5589014	NABEC	NIH-PHS001354	UKY-1163	GenotypeID not found
SRR5588989	NABEC	NIH-PHS001354	UKY-1092	GenotypeID not found
SRR5589048	NABEC	NIH-PHS001354	UKY-5008	GenotypeID not found
SRR5589053	NABEC	NIH-PHS001354	UKY-5062	GenotypeID not found
SRR5589058	NABEC	NIH-PHS001354	UKY-5158	GenotypeID not found
SRR5589005	NABEC	NIH-PHS001354	UKY-1146	GenotypeID not found
SRR5589026	NABEC	NIH-PHS001354	UKY-1206	GenotypeID not found
SRR5588990	NABEC	NIH-PHS001354	UKY-1092	GenotypeID not found
SRR5589060	NABEC	NIH-PHS001354	UKY-5170	GenotypeID not found
SRR5589027	NABEC	NIH-PHS001354	UKY-1211	GenotypeID not found
SRR5589029	NABEC	NIH-PHS001354	UKY-1217	GenotypeID not found
SRR5588998	NABEC	NIH-PHS001354	UKY-1127	GenotypeID not found
SRR5589016	NABEC	NIH-PHS001354	UKY-1165	GenotypeID not found
SRR5589054	NABEC	NIH-PHS001354	UKY-5062	GenotypeID not found
SRR5589037	NABEC	NIH-PHS001354	UKY-1227	GenotypeID not found
SRR5589051	NABEC	NIH-PHS001354	UKY-5015	GenotypeID not found
SRR5589055	NABEC	NIH-PHS001354	UKY-5062	GenotypeID not found
SRR5589043	NABEC	NIH-PHS001354	UKY-1245	GenotypeID not found
SRR5589353	NABEC	NIH-PHS001354	UMARY-794	GenotypeID not found
SRR5605731	NABEC	NIH-PHS001353	UMARY-794	GenotypeID not found
SRR5589063	NABEC	NIH-PHS001354	UKY-845	GenotypeID not found
SRR5588986	NABEC	NIH-PHS001354	UKY-1070	GenotypeID not found
SRR5589002	NABEC	NIH-PHS001354	UKY-1142	GenotypeID not found
SRR5589013	NABEC	NIH-PHS001354	UKY-1161	GenotypeID not found
SRR5589007	NABEC	NIH-PHS001354	UKY-1156	GenotypeID not found
SRR5588994	NABEC	NIH-PHS001354	UKY-1106	GenotypeID not found
SRR5589052	NABEC	NIH-PHS001354	UKY-5034	GenotypeID not found
SRR5589012	NABEC	NIH-PHS001354	UKY-1159	GenotypeID not found
SRR5589031	NABEC	NIH-PHS001354	UKY-1217	GenotypeID not found
SRR5589019	NABEC	NIH-PHS001354	UKY-1170	GenotypeID not found
SRR5589004	NABEC	NIH-PHS001354	UKY-1146	GenotypeID not found
SRR5589025	NABEC	NIH-PHS001354	UKY-1206	GenotypeID not found
SRR5589047	NABEC	NIH-PHS001354	UKY-1247	GenotypeID not found
SRR5589000	NABEC	NIH-PHS001354	UKY-1132	GenotypeID not found
SRR5589024	NABEC	NIH-PHS001354	UKY-1206	GenotypeID not found
SRR5589020	NABEC	NIH-PHS001354	UKY-1177	GenotypeID not found
SRR5589015	NABEC	NIH-PHS001354	UKY-1163	GenotypeID not found
08_120410	AMP-AD	ROS	ROS11697592	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
202_120424	AMP-AD	MAP	SM-CTEGE	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
596_120522	AMP-AD	ROS	SM-CJEKE	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
246_120426	AMP-AD	MAP	MAP87264456	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
764_130520	AMP-AD	MAP	NA	GenotypeID not found
397_120503	AMP-AD	ROS	SM-CJGHA	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
954_131107	AMP-AD	MAP	NA	GenotypeID not found
39_120416	AMP-AD	ROS	NA	GenotypeID not found
922_131031	AMP-AD	MAP	NA	GenotypeID not found
03_120405	AMP-AD	MAP	SM-CJK43	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
777_130528	AMP-AD	MAP	NA	GenotypeID not found
556_120517	AMP-AD	MAP	NA	GenotypeID not found
714_120531	AMP-AD	MAP	NA	GenotypeID not found
104_120418	AMP-AD	ROS	NA	GenotypeID not found
272_120430	AMP-AD	ROS	ROS20946257	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
45_120416	AMP-AD	ROS	NA	GenotypeID not found
688_120604	AMP-AD	ROS	SM-CJEI1	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
07_120410	AMP-AD	ROS	NA	GenotypeID not found
352_120501	AMP-AD	MAP	NA	GenotypeID not found
04_120405	AMP-AD	ROS	NA	GenotypeID not found
181_120424	AMP-AD	ROS	ROS20251553	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
242_120426	AMP-AD	ROS	SM-CJIXQ	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
786_130530	AMP-AD	MAP	NA	GenotypeID not found
624_120524	AMP-AD	ROS	NA	GenotypeID not found
126_120419	AMP-AD	ROS	NA	GenotypeID not found
831_130725	AMP-AD	MAP	NA	GenotypeID not found
559_120517	AMP-AD	MAP	NA	GenotypeID not found
435_120507	AMP-AD	MAP	NA	GenotypeID not found
423_120507	AMP-AD	ROS	SM-CJJ2R	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
535_120516	AMP-AD	MAP	NA	GenotypeID not found
459_120514	AMP-AD	MAP	NA	GenotypeID not found
793_130530	AMP-AD	ROS	NA	GenotypeID not found
941_131101	AMP-AD	MAP	NA	GenotypeID not found
80_120417	AMP-AD	ROS	NA	GenotypeID not found
304_120430	AMP-AD	MAP	NA	GenotypeID not found
673_120530	AMP-AD	ROS	NA	GenotypeID not found
138_120419	AMP-AD	ROS	SM-CJIZF	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
701_120605	AMP-AD	MAP	NA	GenotypeID not found
58_120417	AMP-AD	ROS	NA	GenotypeID not found
942_131101	AMP-AD	MAP	NA	GenotypeID not found
923_131031	AMP-AD	ROS	SM-CJEI2	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
377_120503	AMP-AD	ROS	NA	GenotypeID not found
634_120524	AMP-AD	MAP	NA	GenotypeID not found
480_120514	AMP-AD	ROS	NA	GenotypeID not found
158_120423	AMP-AD	ROS	SM-CJIXD	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
201_120424	AMP-AD	ROS	ROS20376029	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
925_131031	AMP-AD	ROS	SM-CJFO9	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
305_120430	AMP-AD	MAP	NA	GenotypeID not found
356_120501	AMP-AD	MAP	NA	GenotypeID not found
892_130923	AMP-AD	ROS	NA	GenotypeID not found
829_130725	AMP-AD	ROS	NA	GenotypeID not found
115_120418	AMP-AD	ROS	NA	GenotypeID not found
800_130701	AMP-AD	MAP	NA	GenotypeID not found
14_120410	AMP-AD	ROS	NA	GenotypeID not found
424_120507	AMP-AD	MAP	NA	GenotypeID not found
216_120425	AMP-AD	MAP	MAP22868024	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
530_120515	AMP-AD	MAP	NA	GenotypeID not found
154_120423	AMP-AD	ROS	NA	GenotypeID not found
857_130905	AMP-AD	MAP	NA	GenotypeID not found
84_120417	AMP-AD	ROS	NA	GenotypeID not found
526_120515	AMP-AD	MAP	NA	GenotypeID not found
901_131010	AMP-AD	MAP	NA	GenotypeID not found
488_120515	AMP-AD	ROS	NA	GenotypeID not found
186_120424	AMP-AD	ROS	NA	GenotypeID not found
98_120417	AMP-AD	ROS	NA	GenotypeID not found
286_120430	AMP-AD	ROS	NA	GenotypeID not found
418_120507	AMP-AD	ROS	NA	GenotypeID not found
584_120522	AMP-AD	MAP	NA	GenotypeID not found
940_131101	AMP-AD	ROS	NA	GenotypeID not found
542_120516	AMP-AD	MAP	SM-CJGGL	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
47_120416	AMP-AD	ROS	NA	GenotypeID not found
544_120516	AMP-AD	MAP	SM-CJK4Y	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\AMPAD-ROSMAP-V2\AMPAD-ROSMAP-V2.genome-pihat0.125.txt
864_130911	AMP-AD	MAP	NA	GenotypeID not found
32_120416	AMP-AD	ROS	NA	GenotypeID not found
90_120417	AMP-AD	ROS	NA	GenotypeID not found
220_120425	AMP-AD	ROS	NA	GenotypeID not found
713_120531	AMP-AD	ROS	NA	GenotypeID not found
109_120418	AMP-AD	ROS	NA	GenotypeID not found
HRA_00272	TargetALS	TargetALS	CGND-HDA-00169	GenotypeID not found
HRA_01235	TargetALS	TargetALS	CGND-HDA-00561	GenotypeID not found
HRA_00263	TargetALS	TargetALS	CGND-HDA-00173	GenotypeID not found
HRA_00244	TargetALS	TargetALS	CGND-HDA-00173	GenotypeID not found
HRA_00275	TargetALS	TargetALS	CGND-HDA-00172	GenotypeID not found
HRA_00727	TargetALS	TargetALS	CGND-HDA-00176	GenotypeID not found
HRA_00258	TargetALS	TargetALS	CGND-HDA-00168	GenotypeID not found
HRA_00256	TargetALS	TargetALS	CGND-HDA-00176	GenotypeID not found
HRA_00721	TargetALS	TargetALS	CGND-HDA-00171	GenotypeID not found
HRA_00723	TargetALS	TargetALS	CGND-HDA-00170	GenotypeID not found
HRA_00286	TargetALS	TargetALS	CGND-HDA-00173	GenotypeID not found
HRA_00264	TargetALS	TargetALS	CGND-HDA-00181	GenotypeID not found
HRA_00279	TargetALS	TargetALS	CGND-HDA-00176	GenotypeID not found
HRA_00288	TargetALS	TargetALS	CGND-HDA-00168	GenotypeID not found
HRA_00254	TargetALS	TargetALS	CGND-HDA-00181	GenotypeID not found
HRA_00743	TargetALS	TargetALS	NA	GenotypeID not found
HRA_00249	TargetALS	TargetALS	CGND-HDA-00169	GenotypeID not found
HRA_00724	TargetALS	TargetALS	CGND-HDA-00169	GenotypeID not found
HRA_00719	TargetALS	TargetALS	CGND-HDA-01477	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\TargetALS\TargetALS.genome-pihat0.125.txt
HRA_00728	TargetALS	TargetALS	CGND-HDA-00168	GenotypeID not found
HRA_01234	TargetALS	TargetALS	CGND-HDA-00561	GenotypeID not found
HRA_00196	TargetALS	TargetALS	CGND-HDA-00561	GenotypeID not found
HRA_00287	TargetALS	TargetALS	CGND-HDA-00177	GenotypeID not found
HRA_00277	TargetALS	TargetALS	CGND-HDA-00181	GenotypeID not found
HRA_00726	TargetALS	TargetALS	CGND-HDA-00177	GenotypeID not found
HRA_00255	TargetALS	TargetALS	CGND-HDA-00175	GenotypeID not found
HRA_00273	TargetALS	TargetALS	CGND-HDA-00170	GenotypeID not found
HRA_00659	TargetALS	TargetALS	CGND-HDA-00561	GenotypeID not found
HRA_00741	TargetALS	TargetALS	NA	GenotypeID not found
HRA_00265	TargetALS	TargetALS	CGND-HDA-00175	GenotypeID not found
HRA_00267	TargetALS	TargetALS	CGND-HDA-00177	GenotypeID not found
HRA_00262	TargetALS	TargetALS	CGND-HDA-00172	GenotypeID not found
HRA_00284	TargetALS	TargetALS	CGND-HDA-00169	GenotypeID not found
HRA_00730	TargetALS	TargetALS	CGND-HDA-00173	GenotypeID not found
HRA_00266	TargetALS	TargetALS	CGND-HDA-00176	GenotypeID not found
HRA_00658	TargetALS	TargetALS	CGND-HDA-00561	GenotypeID not found
HRA_00259	TargetALS	TargetALS	CGND-HDA-00169	GenotypeID not found
HRA_00246	TargetALS	TargetALS	CGND-HDA-00175	GenotypeID not found
HRA_00251	TargetALS	TargetALS	CGND-HDA-00171	GenotypeID not found
